rfc_id;description;deleted;whitelisted;whitelisted_at;whitelisted_by;for_delete;for_delete_at;for_delete_by;deleted_mongo_src;deleted_mongo_src_at;deleted_pg_src;deleted_pg_src_at;description_backup
TDZr4A5PRXqMGvfER;KSC-15827884 , samma bilder igen, femte;;;;;;;;;;;;
eLjb8edDDzQjEZ4vA;САК 8761099 перестал работать механизм раскладывания;;;;;;;;;;;;
Tzn9GJwcGMF5YobdG;Retornei chamada, mas não era oportunho para a clt falar.;;;;;;;;;;;;
vfCjwj4LHnbbNFSod;Hei. Jeg har noen blå poser fra ikea som jeg nå skal kaste. Men skal de i rest- eller plastavfall?;;;;;;;;;;;;
XK42SrFdwGZmKhm45;Confirmo IBAN;;;;;;;;;;;;
ECmkwdCSFcqCq7Pxi;KSC-15827884 , samma bilder igen, sjätte;;;;;;;;;;;;
GPM54rKjWkrwnQLqD;не оформляется заказ из 609;;;;;;;;;;;;
AmEcMTZrZ7yXuoC9s;SAC 8739297;;;;;;;;;;;;
tNx2EiYWAuwBonr2y;Nut nicht bündig;;;;;;;;;;;;
tgrT8eJSGqXycaevE;rezervni dio;;;;;;;;;;;;
raJGvErcNGqbox6XF;javlja info o IBANU;;;;;;;;;;;;
kNrvvgYnnvuG53i4B;Parkmöglichkeiten Lieferwagen höher als 3.20m;;;;;;;;;;;;
3cX6ahDE6pXGojhbC;свободные интервалы на планирование;;;;;;;;;;;;
vMvH8wrJFNwvMHsPr;по МСК;;;;;;;;;;;;
2GQhYpeCB2x6gXkib;коммерческое предложение;;;;;;;;;;;;
JEv7Lrec4uMdLo8xQ;5;;;;;;;;;;;;
bCwaT3YW6kAEY4K7C;​issue: cx mailed stating that she did not get a call from our team as she called twice for the return of articles. resolution: informed cx that we have forwarded the mail to relevant team and they will call her for further process.​;;;;;;;;;;;;
27zfm2pc2R7LhDbq6;poklon kartica;;;;;;;;;;;;
gmp4XR6PZrwzvGipo;4,платно;;;;;;;;;;;;
sbjyotXkiDytcZvKv;šalje iban;;;;;;;;;;;;
GAZY4dbNFxrGy33bd;kjøleskap trenger deler;;;;;;;;;;;;
goTAxsWhCcLs2DSRt;bon calendrier;;;;;;;;;;;;
Zz4LqwB3BGXFzmqEx;Россия;;;;;;;;;;;;
X4Thv3XmQPiFjnrtF;​Issue: ​Cx says that ​he was charged extra and he bought it o our notice it can happen with other also and ​he wants us to rectify it Resolution: informed the cx that we have raised the issue to the team to correct the issue;;;;;;;;;;;;
hMxEEAKxDKAN2pHFZ;могу я сдать товар нез упаковки и обменять на другой?;;;;;;;;;;;;
rMmsrDKb3BmzBn663;En franja ;;;;;;;;;;;;
sNPNLrnKoT2kgsFfA;ff;;;;;;;;;;;;
bxXviScQrkqeqHu2G;1063687163 Sams 44289878;;;;;;;;;;;;
v85YqZazSow8RmD2c;Issue:- customer has stated that she has requested for return of the article and stated that she did not got  any update till now. Resolution :- As per Bl comments informed customer that team has tried to but she did not answer the call  to process IVR  payment  so informed customer that we will arrange for call back for IVR payment ;;;;;;;;;;;;
652Tmj74fx74mCsbi;	 ​Issue: cx has given the alt contact number to call him Resolution: forwarded the number to aftersales and also informed the cx that we have forwarded to the team they will get in touch with him directly;;;;;;;;;;;;
ieZAqDqPtvHFnv7KD;5;;;;;;;;;;;;
geBde2nXaBRthAm7a;прошла заявка с сайта;;;;;;;;;;;;
gdc9iryfkA4Rx2Cei;1 105328717 105320314 ;;;;;;;;;;;;
WEMznYzn9jA3PFM7e;"Kund fått en \"bluff-faktura\" där de vill att han ska betala 29:- i frakt.";;;;;;;;;;;;
huTWhAbwxeQHcdBzQ;pumper ikke vand;;;;;;;;;;;;
YrEjpFJvbvPQKEkdu;1068500184;;;;;;;;;;;;
FCYNMSCWBTcbdMzT5;Llama cliente porque esta montando la mercancia y uno de los laterales esta dañado.;;;;;;;;;;;;
6cjPH8sP7THeFAyTr;.;;;;;;;;;;;;
